name;symbol;isincode;marketIdentificationCode
Casino Guichard Perrachon;CO1;FR0000125585;XPAR
Cast;CAS;FR0000072894;XPAR
Catana Group;CATG;FR0010193052;XPAR
Catering International & Services;CTRG;FR0000064446;XPAR
Cattolica Assicurazioni;CASS;IT0000784154;MTAA
CBo Territoria;CBOT;FR0010193979;XPAR
CD Projekt SA -Grey-;OTGLF;PLOPTTC00011;OTCB
CECONOMY AG;CEC;DE0007257503;XETR
Cecurity.com;MLCEC;FR0010717579;XPAR
Cegedim SA;CGM;FR0000053506;XPAR
Cellectis;ALCLS;FR0010425595;XPAR
Cellnex Telecom S.A.U.;CLNX;ES0105066007;XMAD
Cellnovo Group SA;CLNV;FR0012633360;XPAR
Celyad;CYAD;BE0974260896;XBRU
Cembre SpA;CMB;IT0001128047;MTAA
Cementir Holding NV;CEM;NL0013995087;MTAA
Cenit AG;DU300600;DE0005407100;XETR
Cenkos Securities PLC;CNKS;GB00B1FLHR07;XLON
Centrica PLC;CNA;GB00B033F229;XLON
Centrotec Sustainable AG;DU301108;DE0005407506;XETR
Ceres Power Holdings PLC;CWR;GB00BG5KQW09;XLON
Cerinnov Group;ALPCV;FR0013178712;XPAR
Cesar SA - Act. Provenant de Regroupment;ALCES;FR0013297165;XPAR
Cewe Stiftung & Co KGAA;DU300938;DE0005403901;XETR
CFE Groupe SA;BE320254;BE0003883031;XBRU
CGG Act;CGG;FR0013181864;XPAR
Character Group PLC;CCT;GB0008976119;XLON
Chargeurs SA;CRI;FR0000130692;XPAR
Chausseria SA;CHSR;FR0000060907;XPAR
Chemins De Fer Departementaux;MLCFD;FR0000037871;XPAR
Cheops Technology;MLCHE;FR0010447086;XPAR
Chr. Hansen Holding A/S;CHR;DK0060227585;XCSE
Christian Dior SE;CDI;FR0000130403;XPAR
Cibox Inter Active;CIB;FR0000054322;XPAR
Cie du Bois Sauvage;BE320185;BE0003592038;XBRU
Cimpress NV;CMPR;IE00BKYC3F77;XNAS
CIR SpA;CIR;IT0000080447;MTAA
Citycon Oyj;39988;FI4000369947;XHEL
Claranova;CLA;FR0013426004;XPAR
Clasquin Group SA;FR310609;FR0004152882;XPAR
Clinica Baviera;ES340137;ES0119037010;XMAD
Clinigen Group PLC;CLIN;GB00B89J2419;XLON
Cliq Digital AG;CLIQ;DE000A0HHJR3;XETR
Cloetta AB -B-;CLAB;SE0002626861;XSTO
CMB Act. -Delisted-;BE320162;BE0003817344;XBRU
CNIM Group;COM;FR0000053399;XPAR
Cnova NV;FR315001;NL0010949392;XPAR
CNP Assurances;CNP;FR0000120222;XPAR
CO.BR.HA;BE320276;BE0003519270;XBRU
Coats Group PLC;GB400985;GB00B4YZN328;XLON
Coca-Cola European Partners PLC;CCEP;GB00BDCPN049;XAMS
Coface SA;COFA;FR0010667147;XPAR
Cofide SpA;COF;IT0000070786;MTAA
Cofidur SA;ALCOF;FR0013257409;XPAR
Cofina;PT350058;PTCFN0AE0003;XLIS
Cogelec SA;COGEC;FR0013335742;XPAR
Cogra 48;ALCOG;FR0011071570;XPAR
Coheris SA;COH;FR0004031763;XPAR
Cohort PLC;CHRT;GB00B0YD2B94;XLON
Coil;FR310116;BE0160342011;XPAR
Colas SA;RE;FR0000121634;XPAR
Colipays;MLCLP;FR0010959684;XPAR
Coloplast A/S -B-;COLOB;DK0060448595;XCSE
Colruyt;COL;BE0974256852;XBRU
Comdirect Bank AG;COM;DE0005428007;XETR
Commerzbank AG;CBK;DE000CBK1001;XETR
Compagnie des Alpes;CDA;FR0000053324;XPAR
Compagnie du Cambodge;CBDG;FR0000079659;XPAR
Compagnie Du Mont-Blanc;MLCMB;FR0000060428;XPAR
Compagnie Indus et Fin d'Entreprises;INFE;FR0000066219;XPAR
Compagnie Lebon SA;FR311968;FR0000121295;XPAR
Compass Group PLC;CPG;GB00BD6K4575;XLON
CompuGroup Medical SE;DU301643;DE0005437305;XETR
Condor Technologies;MLMFI;BE6252013725;XPAR
Conduril Construtora Duriense SA;CDU;PTCDU0AE0003;XLIS
Connect Group PLC;CNCT;GB00B17WCR61;XLON
Constellium SE;CSTM;FR0013467479;XNYS
ContextVision AB;NO570092;SE0000371239;XOSL
Continental AG;CON;DE0005439004;XETR
ConvaTec Group PLC;CTEC;GB00BD3VFW73;XLON
Corbion;CRBN;NL0010583399;XAMS
Core Laboratories NV;CLB;NL0000200384;XNYS
Coreo AG;DU300756;DE000A0B9VV6;XETR
Corep Lighting SA;MLCOR;FR0010035816;XPAR
Corestate Capital Holding SA;CCAP;LU1296758029;XETR
Corporation Financiera Alba;ES340037;ES0117160111;XMAD
Corticeira Amorim SGPS SA;COR;PTCOR0AE0006;XLIS
Courtois Act. Nom.;FR310603;FR0000065393;XPAR
Covestro AG;1COV;DE0006062144;XETR
CPL Resources PLC;CPL;IE0007214426;XDUB
Cranswick PLC;GB400905;GB0002318888;XLON
CRCAM Brie Picardie CCI;CRBP2;FR0010483768;XPAR
CRCAM Ille Vilaine;FR310296;FR0000045213;XPAR
CRCAM Nord de France;FR310938;FR0000185514;XPAR
CRCAM Normandie Seine;FR310940;FR0000044364;XPAR
CRCAM Paris IDF;FR310297;FR0000045528;XPAR
CRCAM Sud Rhone Alpes;FR310939;FR0000045346;XPAR
Credit Agricole;CR1;FR0000045072;XPAR
Credit Agricole Atlantique Vendee CCI;CRAV;FR0000185506;XPAR
Credit Agricole de la Touraine -  Poitou;CRTO;FR0000045304;XPAR
Credit Agricole du Languedoc;CRLA;FR0010461053;XPAR
Credit Agricole du Morbihan;CMO;FR0000045551;XPAR
Credit Agricole Loire Haute-Loire CCI SA;FR311045;FR0000045239;XPAR
Credit Agricole Toulouse 31;CAT31;FR0000045544;XPAR
Credito Emiliano spa;CE;IT0003121677;MTAA
Credito Valtellinese;CVAL;IT0005319444;MTAA
Crescent;OPTI;BE0003836534;XBRU
Crest Nicholson Holdings PLC;CRST;GB00B8VZXT93;XLON
CRH - ADR;US112476;US12626K2033;XNYS
CRH PLC;CRH;IE0001827041;XDUB
Criteo SA -ADR-;CRTO;US2267181046;XNAS
CropEnergies AG;DU301005;DE000A0LAUP1;XETR
Crossject SA;ALCJ;FR0011716265;XPAR
Crosswood SA;CROS;FR0000050395;XPAR
CS Group SA;SX;FR0007317813;XPAR
Csp International Fashion Gr;CSP;IT0001127874;MTAA
CTA Holding SA -Delisted-;FR312505;FR0000054066;XPAR
CTac;34557;NL0000345577;XAMS
CTS Eventim AG & Co KGaA;DU300649;DE0005470306;XETR
CTT-Correios de Portugal SA;CTT;PTCTT0AM0001;XLIS
Curasan AG;CURK;DE000A2YPGM4;XETR
Curetis AG;CURE;NL0011509294;XAMS
Cyan AG;CYR;DE000A2E4SV8;XETR
Cybergun;ALCYB;FR0013204351;XPAR
D'ieteren SA;BE320325;BE0974259880;XBRU
D4t4 Solutions PLC;D4T4;GB0001351955;XLON
Daimler AG;DAI;DE0007100000;XETR
Dalet -Regroupe-;FR311960;FR0011026749;XPAR
Damaris;FR311052;FR0000077885;XPAR
Damartex;ALDAR;FR0000185423;XPAR
Danaos Corp;DAC;MHY1968P1218;XNYS
Danieli & C.SpA;DAN;IT0000076502;MTAA
Danone;DA1;FR0000120644;XPAR
Dart Group PLC;GB400574;GB00B1722W11;XLON
Dassault Aviation SA;AM;FR0000121725;XPAR
Dassault Systemes;DSY;FR0000130650;XPAR
Data Respons ASA;NO570063;NO0003064107;XOSL
Datagroup AG;DU301928;DE000A0JC8S7;XETR
Datalex PLC;IE380128;IE0000527006;XDUB
Datalogic Post Frazionamento;DAL;IT0004053440;MTAA
Datbim;MLDTB;FR0004177939;XPAR
Davide Campari - Milano SpA;CPR;IT0005252207;MTAA
DBV Technologies SA;DBV;FR0010417345;XPAR
DCC PLC;DCC;IE0002424939;XLON
De La Rue Group PLC;GB400732;GB00B3DGH821;XLON
De Longhi;DLG;IT0003115950;MTAA
Dea Capital SpA;DEA;IT0001431805;MTAA
DEAG Deutsche Entertainment AG;LOUD;DE000A0Z23G6;XETR
Debflex;MLDEX;FR0010776658;XPAR
Deceuninck;DECB;BE0003789063;XBRU
Dedalus France SACA;DEDAL;FR0000052623;XPAR
Deinove;ALDEI;FR0010879056;XPAR
Delfingen Industry;ALDEL;FR0000054132;XPAR
Delhaize Group -Acquired-;320006;BE0003562700;XBRU
Delta Drone;ALDR;FR0011522168;XPAR
Delta Plus Group;DLTA;FR0013283108;XPAR
Delticom AG;DU301033;DE0005146807;XETR
Demant A/S;DEMANT;DK0060738599;XCSE
Deoleo SA;ES340169;ES0110047919;XMAD
Derichebourg Act.;PPS;FR0000053381;XPAR
Derwent London PLC;DLN;GB0002652740;XLON
Deufol SE;DE1;DE000A1R1EE6;XETR
Deutsche Bank AG;DB;DE0005140008;XNYS
Deutsche Beteiligungs AG;DBAN;DE000A1TNUT7;XETR
Deutsche Boerse AG;DB1;DE0005810055;XETR
Deutsche Effect & Wechsel;300629;DE0008041005;XETR
Deutsche Euroshop AG;DU301119;DE0007480204;XETR
Deutsche Lufthansa AG;LHA;DE0008232125;XETR
